JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,sample_size,REG_HR_mode,REG RT_mean,REG RT_median,REG_RT_mode,OT HR_mean,OT HR_median,OT_HR_mode,OT RT_mean,OT RT_median,totalpay_mean,totalpay_median
HATCH TENDER/SIGNALS,NIGHT,FRASER SURREY,,9.0,9.0,1,9.0,70.67,70.67,70.67,0.0,0.0,0.0,105.505,105.505,636.03,636.03
HD MECHANIC,DAY,CENTENNIAL,,9.0,9.0,1,9.0,113.1,113.1,113.1,,,,168.4,168.4,1017.9,1017.9
HD MECHANIC,DAY,DELTAPORT,,6.833333333333333,7.5,12,7.5,65.95583333333333,57.8,55.67,0.75,0.5,0.5,94.36208333333333,85.45,504.03000000000003,508.57
HD MECHANIC,DAY,FRASER SURREY,,8.3125,9.0,8,9.0,77.5825,86.32,87.57,0.25,0.0,0.0,120.424375,128.85750000000002,675.393125,776.88
HD MECHANIC,DAY,LYNNTERM,,4.0,4.0,8,4.0,57.8,57.8,57.8,1.0,1.0,1.0,85.45,85.45,273.92499999999995,273.92499999999995
HD MECHANIC,DAY,VANTERM,,4.9375,4.0,8,4.0,61.332499999999996,57.8,57.8,1.0,1.0,1.0,88.3525,85.45,340.3925,316.65
HD MECHANIC,GRAVEYARD,CENTENNIAL,,7.25,7.25,2,7.0,90.98,90.98,90.98,,,,135.22,135.22,659.605,659.605
HD MECHANIC,GRAVEYARD,DELTAPORT,,6.0,6.0,5,6.0,72.03999999999999,88.55,88.55,0.5,0.5,0.5,118.271,131.575,595.765,597.0875
HD MECHANIC,GRAVEYARD,FRASER SURREY,,7.571428571428571,7.5,7,8.0,86.23285714285714,85.23,85.23,0.14285714285714285,0.0,0.0,91.43142857142857,126.6,671.2542857142856,681.84
HD MECHANIC,GRAVEYARD,LYNNTERM,,0.0,0.0,1,0.0,0.0,0.0,0.0,6.5,6.5,6.5,131.575,131.575,855.2375,855.2375
HD MECHANIC,GRAVEYARD,NEPTUNE,,8.0,8.0,1,8.0,88.55,88.55,88.55,,,,131.575,131.575,708.4,708.4
HD MECHANIC,GRAVEYARD,VANTERM,,7.333333333333333,7.0,3,7.0,88.22333333333331,88.55,88.55,0.0,0.0,0.0,131.08666666666667,131.575,646.7533333333333,619.85
HD MECHANIC,NIGHT,CENTENNIAL,,7.0,7.0,1,7.0,90.98,90.98,90.98,,,,135.22,135.22,636.86,636.86
HD MECHANIC,NIGHT,DELTAPORT,,6.666666666666667,7.5,9,7.5,76.2088888888889,72.17,69.48,1.3333333333333333,0.5,0.5,113.34166666666667,107.005,656.1458333333334,594.7775
HD MECHANIC,NIGHT,FRASER SURREY,,8.956818181818182,9.0,22,9.0,73.37272727272727,69.48,69.48,0.0,0.0,0.0,104.3,102.97,657.3542727272727,625.32
HD MECHANIC,NIGHT,VANTERM,,7.333333333333333,6.5,3,6.5,89.36,88.55,88.55,,,,132.79,131.575,656.6566666666668,575.575
HEAD CHECKER,DAY,CENTENNIAL,CANOPY (HC),8.333333333333334,8.0,24,8.0,60.650000000000006,55.95,55.95,1.736842105263158,2.0,2.0,90.64999999999999,83.6,625.7575,614.8
HEAD CHECKER,DAY,CENTENNIAL,EQUIP. CONTROL (HC),7.944134078212291,8.0,179,8.0,59.500111731843575,55.95,55.95,2.0195530726256985,2.0,2.0,89.165,83.6,652.6014525139664,614.8
HEAD CHECKER,DAY,CENTENNIAL,GOPHER (HC),8.045454545454545,8.0,22,8.0,59.656363636363636,55.95,55.95,1.0,1.0,1.0,89.19590909090908,83.6,565.19,531.2
HEAD CHECKER,DAY,CENTENNIAL,INGATE (HC),8.235294117647058,8.0,34,8.0,61.41676470588236,55.95,55.95,1.2666666666666666,1.0,1.0,89.36044117647057,83.6,603.9255882352942,559.175
HEAD CHECKER,DAY,CENTENNIAL,OUTGATE (HC),8.5,8.5,2,8.0,63.690000000000005,63.690000000000005,55.95,2.0,2.0,2.0,95.21,95.21,628.835,628.835
