JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,REG HR_std,sample_size,REG RT_mean,REG RT_median,REG RT_std,OT HR_mean,OT HR_median,OT HR_std,OT RT_mean,OT RT_median,OT RT_std,totalpay_mean,totalpay_median,totalpay_std,confidence_mean,confidence_max
LIFT TRUCK,DAY,LYNNTERM,,7.978918058870327,8.0,0.30086304807057673,1257,59.962601431980914,55.8,10.306964499411642,0.6774193548387096,1.0,0.678253677093522,89.64422832140016,83.45,16.133990925308094,483.2087669053302,446.4,87.59378252463755,0.5024661893396977,0.9
TRACTOR TRAILER,NIGHT,VANTERM,SHIP (TT),7.965202982601491,8.0,0.39696038841994447,1207,74.73344656172327,70.32,9.814244228148052,0.08585271317829457,0.0,0.3141962904960553,110.91729080364541,105.155,17.52995120750253,597.4026449875724,562.56,87.78140077986282,0.606338028169014,0.85
RUBBER TIRE GANTRY,DAY,VANTERM,,7.974801061007957,8.0,0.3692036757584671,1131,59.98572060123784,56.3,9.31234452802262,0.9393926247288503,1.0,0.2659211753883507,88.9380061892131,83.95,15.190590899765297,542.5359244916003,534.35,61.415299417263604,0.613395225464191,0.9
TRACTOR TRAILER,NIGHT,CENTENNIAL,RAIL (TT),8.962087912087911,9.0,0.36737410940856535,1001,76.33388611388611,70.32,9.614724394542844,0.008838383838383838,0.0,0.1547320644658701,113.40555944055944,105.155,17.318256413008594,684.9499365634366,632.88,92.32918577843208,0.8474525474525474,1.0
LABOUR,DAY,CANADA PLACE,COASTWISE (LAB),7.635473340587596,8.0,0.659176525542762,919,68.50084874863983,55.3,14.969489359932814,1.2899408284023668,1.0,0.7046621961770417,102.685,82.95,22.465257137811136,595.0010174102285,553.0,141.39880452236983,0.764417845484222,1.0
LABOUR,DAY,VAN WHARVES,BLANK,7.967558685446009,8.0,0.451128526251965,852,59.04515258215962,55.3,10.193329509374232,0.87109375,1.0,0.4758731654630708,88.59461854460095,82.95,15.306301374012225,493.5823397887324,442.4,97.25823941599154,0.6488262910798122,1.0
LABOUR,DAY,CENTENNIAL,BLANK,8.164684898929846,8.0,0.7045271476554972,841,61.03042806183115,55.3,12.765137943685016,0.6829268292682927,0.5,1.0259358724272354,91.60152497027349,82.95,19.55555080970117,504.2124554102259,442.4,124.1893496451615,0.6721165279429251,1.0
LABOUR,DAY,NEPTUNE,BLANK,7.923629719853837,8.0,0.4642087201853719,821,61.206613885505476,55.3,12.0253669882949,0.9517021276595745,1.0,0.6360747656322221,91.745353227771,82.95,17.984379928133986,511.5002649208282,442.4,119.41413483279183,0.6747868453105969,1.0
RUBBER TIRE GANTRY,GRAVEYARD,CENTENNIAL,,6.508655126498002,6.5,0.0979369979647663,751,87.80446071904127,87.05,5.509308094076325,0.17134831460674158,0.0,0.5559537076281947,131.03919440745673,130.075,9.58447077221735,573.6410252996005,565.825,52.664173017470134,0.503994673768309,0.75
RUBBER TIRE GANTRY,NIGHT,CENTENNIAL,,7.986301369863014,8.0,0.22789973759512344,730,75.87899999999999,70.67,9.438920241339016,0.09166666666666666,0.0,0.28693623374303373,113.17735616438357,105.505,15.190305175572336,607.0561232876713,565.36,77.21293458961972,0.5035616438356165,0.75
TRACTOR TRAILER,DAY,VANTERM,RAIL (TT),7.923186344238975,8.0,0.5790158447030995,703,62.13547652916075,55.95,12.689182070461666,0.0,0.0,0.0,93.08330014224751,83.6,19.233242543138086,492.489359886202,447.6,107.48635282062945,0.6085348506401138,0.85
LABOUR,DAY,VANTERM,BLANK,7.950934579439252,8.0,0.4816515387308912,642,59.9895631825273,55.3,12.888710411010571,0.36538461538461536,0.0,0.5342704813197647,90.44799065420561,82.95,20.17003856096004,479.06677847113883,442.4,105.27236311128969,0.610202492211838,0.85
LIQUID BULK,DAY,UNIVAR,,7.958466453674121,8.0,0.4815311043669384,626,62.75830670926517,56.3,13.93173803974863,1.0597402597402596,1.0,0.5475465496430179,93.4957587859425,83.95,20.282359387983497,562.0379592651757,534.35,147.13190161769384,0.5889776357827475,0.9
DOCK CHECKER,DAY,LYNNTERM,,7.961082910321489,8.0,0.40359592759992585,591,57.36703891708967,55.8,6.502658976103533,0.7681159420289855,1.0,0.5595409761642306,85.69775803722504,83.45,10.359865874597999,464.57775803722507,446.4,65.57963013829257,0.5141285956006768,0.9
ELECTRICIAN,DAY,DELTAPORT,,7.870404411764706,8.0,0.3567644425352397,544,65.88273897058824,57.8,14.231681128132507,1.252212389380531,1.0,0.521697271875679,97.5810018382353,85.45,21.34299128381643,619.9784438305709,561.675,137.4047115596199,0.6670036764705882,0.9
BULK OPERATOR,GRAVEYARD,NEPTUNE,,6.468460111317254,6.5,0.42234040317836596,539,86.91274074074073,87.05,8.08940576370353,0.46987951807228917,0.5,1.0991715822446975,126.20794212962961,130.075,24.573987937334394,580.0663125000001,565.825,70.65292890473728,0.545462962962963,0.9
40 TON (TOP PICK),DAY,VANTERM,,8.207243460764587,8.0,0.5646757625549644,497,61.80507042253521,56.3,11.81307709142773,0.7643312101910829,1.0,0.40826765399728554,92.2997384305835,83.95,17.638321750820733,573.2399496981891,534.35,108.88466665714137,0.6754527162977867,0.9
