JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
LINES,NIGHT,VANTERM,,4.0,0.0,5
LINES,NIGHT,VITERRA PAC,,4.0,0.0,4
LIQUID BULK,DAY,PORT MOODY,,7.5,0.5,39
LIQUID BULK,DAY,UNIVAR,,4.0,1.0,8
LIQUID BULK,DAY,VAN WHARVES,,4.0,0.0,3
LIQUID BULK,GRAVEYARD,PORT MOODY,,6.0,0.5,8
LIQUID BULK,NIGHT,PORT MOODY,,7.5,0.5,14
LOCI,DAY,NEPTUNE,,7.5,0.5,158
LOCI,GRAVEYARD,NEPTUNE,,6.0,0.5,3
LOCI,NIGHT,NEPTUNE,,7.5,0.5,62
LOCI,NIGHT,VAN WHARVES,,0.0,9.0,11
LOCKERMAN,DAY,LYNNTERM,,9.0,9.0,74
LOCKERMAN,DAY,VITERRA PAC,,9.0,0.0,13
MOBILE CRANE,DAY,CANADA PLACE,,7.0,2.0,44
OB,DAY,WATERFRONT TRAIN. CNTR,,4.0,0.0,12
PAINTER,DAY,CENTENNIAL,,5.0,1.0,3
PLUMBER,DAY,NEPTUNE,,7.5,1.5,8
PLUMBER,DAY,VAN WHARVES,,4.0,4.0,5
RAIL MOUNTED GANTRY,DAY,CENTENNIAL,,9.0,0.0,82
RAIL MOUNTED GANTRY,GRAVEYARD,CENTENNIAL,,7.5,0.0,224
RAIL MOUNTED GANTRY,NIGHT,CENTENNIAL,,9.0,0.0,7
REACHSTACKER,DAY,CENTENNIAL,,9.0,0.0,42
REACHSTACKER,GRAVEYARD,CENTENNIAL,,7.5,0.0,21
REACHSTACKER,NIGHT,CENTENNIAL,,9.0,0.0,4
RUBBER TIRE GANTRY,DAY,CENTENNIAL,,4.0,1.0,44
RUBBER TIRE GANTRY,DAY,VANTERM,,9.0,0.0,21
RUBBER TIRE GANTRY,GRAVEYARD,CENTENNIAL,,7.5,0.0,6
RUBBER TIRE GANTRY,GRAVEYARD,VANTERM,,7.5,0.0,5
RUBBER TIRE GANTRY,NIGHT,CENTENNIAL,,4.0,0.0,5
RUBBER TIRE GANTRY,NIGHT,VANTERM,,6.5,0.0,5
STORESPERSON,DAY,CANADA PLACE,,7.0,2.0,4
